step,x,y,z,energy
0,0.0,0.0,0.0,-1.8699957005544006
1,1.1111111111111112,1.1111111111111112,1.1111111111111112,-1.3356875580431087
2,2.2222222222222223,2.2222222222222223,2.2222222222222223,1.6455557245197092
3,3.3333333333333335,3.3333333333333335,3.3333333333333335,0.22155363882365867
4,4.444444444444445,4.444444444444445,4.444444444444445,0.003779132546286417
5,5.555555555555555,5.555555555555555,5.555555555555555,-0.02825246100696284
6,6.666666666666667,6.666666666666667,6.666666666666667,-0.1316749588045003
7,7.777777777777779,7.777777777777779,7.777777777777779,1.739589259025442
8,8.88888888888889,8.88888888888889,8.88888888888889,1.6437099881405948
9,10.0,10.0,10.0,0.3257251674956909
