step,x,y,z,energy
0,0.0,0.0,0.0,0.1914430509894265
1,1.1111111111111112,1.1111111111111112,1.1111111111111112,-1.1845248805294777
2,2.2222222222222223,2.2222222222222223,2.2222222222222223,-2.6450411510964984
3,3.3333333333333335,3.3333333333333335,3.3333333333333335,0.2779207155459468
4,4.444444444444445,4.444444444444445,4.444444444444445,-0.13690694605111745
5,5.555555555555555,5.555555555555555,5.555555555555555,1.6403610495821042
6,6.666666666666667,6.666666666666667,6.666666666666667,-1.3685973604307424
7,7.777777777777779,7.777777777777779,7.777777777777779,-0.8323797009254743
8,8.88888888888889,8.88888888888889,8.88888888888889,0.9036279336749627
9,10.0,10.0,10.0,-0.9926973260302852
