step,x,y,z,energy
0,0.0,0.0,0.0,-0.4337737166807948
1,1.1111111111111112,1.1111111111111112,1.1111111111111112,-0.9019929959745759
2,2.2222222222222223,2.2222222222222223,2.2222222222222223,1.074831942936441
3,3.3333333333333335,3.3333333333333335,3.3333333333333335,-0.45407572952779873
4,4.444444444444445,4.444444444444445,4.444444444444445,0.8069272534167118
5,5.555555555555555,5.555555555555555,5.555555555555555,-0.6551466070450989
6,6.666666666666667,6.666666666666667,6.666666666666667,0.45296186419067075
7,7.777777777777779,7.777777777777779,7.777777777777779,0.2607155999500945
8,8.88888888888889,8.88888888888889,8.88888888888889,0.3674395866270025
9,10.0,10.0,10.0,-1.3328140503848973
