step,x,y,z,energy
0,0.0,0.0,0.0,0.9468962921149654
1,1.1111111111111112,1.1111111111111112,1.1111111111111112,-0.35872705575025277
2,2.2222222222222223,2.2222222222222223,2.2222222222222223,1.0488537133972544
3,3.3333333333333335,3.3333333333333335,3.3333333333333335,-1.0670826396530968
4,4.444444444444445,4.444444444444445,4.444444444444445,-1.0105058755277214
5,5.555555555555555,5.555555555555555,5.555555555555555,-1.8868316243113306
6,6.666666666666667,6.666666666666667,6.666666666666667,0.7580510579004291
7,7.777777777777779,7.777777777777779,7.777777777777779,-0.6336103277545749
8,8.88888888888889,8.88888888888889,8.88888888888889,0.7386350721181869
9,10.0,10.0,10.0,0.35861166139935724
