step,x,y,z,energy
0,0.0,0.0,0.0,-0.04103949520442979
1,1.1111111111111112,1.1111111111111112,1.1111111111111112,-1.5037592262480086
2,2.2222222222222223,2.2222222222222223,2.2222222222222223,-0.795506893038843
3,3.3333333333333335,3.3333333333333335,3.3333333333333335,-1.5082711243097457
4,4.444444444444445,4.444444444444445,4.444444444444445,0.08248236231988598
5,5.555555555555555,5.555555555555555,5.555555555555555,0.44068212620403113
6,6.666666666666667,6.666666666666667,6.666666666666667,0.05162055678267921
7,7.777777777777779,7.777777777777779,7.777777777777779,0.36885727133039053
8,8.88888888888889,8.88888888888889,8.88888888888889,0.5781567551244836
9,10.0,10.0,10.0,0.1114789027741332
