step,x,y,z,energy
0,0.0,0.0,0.0,1.110932629590007
1,1.1111111111111112,1.1111111111111112,1.1111111111111112,0.6123091040162135
2,2.2222222222222223,2.2222222222222223,2.2222222222222223,1.1214589133754136
3,3.3333333333333335,3.3333333333333335,3.3333333333333335,-0.36118731149537336
4,4.444444444444445,4.444444444444445,4.444444444444445,-1.2660714680078602
5,5.555555555555555,5.555555555555555,5.555555555555555,-0.6814996298062025
6,6.666666666666667,6.666666666666667,6.666666666666667,-0.6921329470931394
7,7.777777777777779,7.777777777777779,7.777777777777779,-0.9689365169418493
8,8.88888888888889,8.88888888888889,8.88888888888889,-0.15735768329266744
9,10.0,10.0,10.0,-1.1384176575455391
