step,x,y,z,energy
0,0.0,0.0,0.0,-0.40665339991130767
1,1.1111111111111112,1.1111111111111112,1.1111111111111112,0.18681132207920795
2,2.2222222222222223,2.2222222222222223,2.2222222222222223,-0.6486089427049581
3,3.3333333333333335,3.3333333333333335,3.3333333333333335,0.41476151723256127
4,4.444444444444445,4.444444444444445,4.444444444444445,0.9642571304408997
5,5.555555555555555,5.555555555555555,5.555555555555555,-0.96610677332105
6,6.666666666666667,6.666666666666667,6.666666666666667,0.7535314711177085
7,7.777777777777779,7.777777777777779,7.777777777777779,0.270640237494048
8,8.88888888888889,8.88888888888889,8.88888888888889,1.03387606963596
9,10.0,10.0,10.0,0.8884425577376363
