step,x,y,z,energy
0,0.0,0.0,0.0,-0.5561243374419443
1,1.1111111111111112,1.1111111111111112,1.1111111111111112,-0.6088001924753342
2,2.2222222222222223,2.2222222222222223,2.2222222222222223,-1.3395165548285797
3,3.3333333333333335,3.3333333333333335,3.3333333333333335,-0.6967608970748224
4,4.444444444444445,4.444444444444445,4.444444444444445,-0.5698111859958264
5,5.555555555555555,5.555555555555555,5.555555555555555,-0.9906125043321762
6,6.666666666666667,6.666666666666667,6.666666666666667,0.2913477822382225
7,7.777777777777779,7.777777777777779,7.777777777777779,0.9906372702573043
8,8.88888888888889,8.88888888888889,8.88888888888889,0.06630999202343951
9,10.0,10.0,10.0,0.5305083609694108
