step,x,y,z,energy
0,0.0,0.0,0.0,1.3968947622235084
1,1.1111111111111112,1.1111111111111112,1.1111111111111112,-1.0521452353330851
2,2.2222222222222223,2.2222222222222223,2.2222222222222223,-0.5166963870874727
3,3.3333333333333335,3.3333333333333335,3.3333333333333335,-1.2001143085652863
4,4.444444444444445,4.444444444444445,4.444444444444445,-0.30290418422362697
5,5.555555555555555,5.555555555555555,5.555555555555555,-0.4327191617442344
6,6.666666666666667,6.666666666666667,6.666666666666667,-0.3930143718140245
7,7.777777777777779,7.777777777777779,7.777777777777779,1.7001187383880079
8,8.88888888888889,8.88888888888889,8.88888888888889,-0.8387785475722763
9,10.0,10.0,10.0,-2.769123058501742
