step,x,y,z,energy
0,0.0,0.0,0.0,1.0877608980498468
1,1.1111111111111112,1.1111111111111112,1.1111111111111112,1.0958437756120156
2,2.2222222222222223,2.2222222222222223,2.2222222222222223,-1.2768480981717587
3,3.3333333333333335,3.3333333333333335,3.3333333333333335,0.04563882772127171
4,4.444444444444445,4.444444444444445,4.444444444444445,-0.38087724256059724
5,5.555555555555555,5.555555555555555,5.555555555555555,-0.026592361782082408
6,6.666666666666667,6.666666666666667,6.666666666666667,-0.7859060973829226
7,7.777777777777779,7.777777777777779,7.777777777777779,0.5120145346695002
8,8.88888888888889,8.88888888888889,8.88888888888889,-1.4087352072662287
9,10.0,10.0,10.0,0.9692755351756909
