step,x,y,z,energy
0,0.0,0.0,0.0,-1.6292815714695938
1,1.1111111111111112,1.1111111111111112,1.1111111111111112,-2.228509030659797
2,2.2222222222222223,2.2222222222222223,2.2222222222222223,0.7363614626462047
3,3.3333333333333335,3.3333333333333335,3.3333333333333335,0.15502620633890543
4,4.444444444444445,4.444444444444445,4.444444444444445,-0.27825649476110614
5,5.555555555555555,5.555555555555555,5.555555555555555,-1.7072399409458878
6,6.666666666666667,6.666666666666667,6.666666666666667,0.5761886929472305
7,7.777777777777779,7.777777777777779,7.777777777777779,-0.22817229419055993
8,8.88888888888889,8.88888888888889,8.88888888888889,1.4058942593089474
9,10.0,10.0,10.0,-0.9388954506663756
