step,x,y,z,energy
0,0.0,0.0,0.0,-1.0640429061307197
1,1.1111111111111112,1.1111111111111112,1.1111111111111112,0.4549353031398724
2,2.2222222222222223,2.2222222222222223,2.2222222222222223,0.9885550387754071
3,3.3333333333333335,3.3333333333333335,3.3333333333333335,-0.39246301009727946
4,4.444444444444445,4.444444444444445,4.444444444444445,0.9523572776954887
5,5.555555555555555,5.555555555555555,5.555555555555555,-0.10520070329823918
6,6.666666666666667,6.666666666666667,6.666666666666667,1.8066883958708926
7,7.777777777777779,7.777777777777779,7.777777777777779,-0.28473635764586547
8,8.88888888888889,8.88888888888889,8.88888888888889,-1.254860365159041
9,10.0,10.0,10.0,-0.8690997092885521
