step,x,y,z,energy
0,0.0,0.0,0.0,-1.9120358283319447
1,1.1111111111111112,1.1111111111111112,1.1111111111111112,0.1897323365864194
2,2.2222222222222223,2.2222222222222223,2.2222222222222223,-1.6631306439493259
3,3.3333333333333335,3.3333333333333335,3.3333333333333335,1.1627593944333956
4,4.444444444444445,4.444444444444445,4.444444444444445,-0.06621171564256749
5,5.555555555555555,5.555555555555555,5.555555555555555,0.10025618860752121
6,6.666666666666667,6.666666666666667,6.666666666666667,0.39628293015010496
7,7.777777777777779,7.777777777777779,7.777777777777779,0.3821533477447984
8,8.88888888888889,8.88888888888889,8.88888888888889,1.2004116648765977
9,10.0,10.0,10.0,1.4548112276751988
