step,x,y,z,energy
0,0.0,0.0,0.0,-1.3476737705087272
1,1.1111111111111112,1.1111111111111112,1.1111111111111112,-1.6506637261734929
2,2.2222222222222223,2.2222222222222223,2.2222222222222223,0.08486319543135329
3,3.3333333333333335,3.3333333333333335,3.3333333333333335,-1.8498884508186135
4,4.444444444444445,4.444444444444445,4.444444444444445,1.461641233698854
5,5.555555555555555,5.555555555555555,5.555555555555555,1.4633467258769457
6,6.666666666666667,6.666666666666667,6.666666666666667,0.6738679592353365
7,7.777777777777779,7.777777777777779,7.777777777777779,0.8225319110004323
8,8.88888888888889,8.88888888888889,8.88888888888889,-0.27097946931539907
9,10.0,10.0,10.0,0.300176992321045
