step,x,y,z,energy
0,0.0,0.0,0.0,-1.6952966350076406
1,1.1111111111111112,1.1111111111111112,1.1111111111111112,-0.054103263307153274
2,2.2222222222222223,2.2222222222222223,2.2222222222222223,0.8800199229896088
3,3.3333333333333335,3.3333333333333335,3.3333333333333335,-0.21982059618020766
4,4.444444444444445,4.444444444444445,4.444444444444445,1.3065580288132344
5,5.555555555555555,5.555555555555555,5.555555555555555,0.026743453285392484
6,6.666666666666667,6.666666666666667,6.666666666666667,0.18992259515946158
7,7.777777777777779,7.777777777777779,7.777777777777779,-0.4493487903370625
8,8.88888888888889,8.88888888888889,8.88888888888889,-0.2566307559142447
9,10.0,10.0,10.0,0.8090234149300132
