step,x,y,z,energy
0,0.0,0.0,0.0,1.2659532016027704
1,1.1111111111111112,1.1111111111111112,1.1111111111111112,0.5323092704163634
2,2.2222222222222223,2.2222222222222223,2.2222222222222223,1.5812914143131191
3,3.3333333333333335,3.3333333333333335,3.3333333333333335,-0.8418911168666696
4,4.444444444444445,4.444444444444445,4.444444444444445,1.0876116579956006
5,5.555555555555555,5.555555555555555,5.555555555555555,0.5817814342178741
6,6.666666666666667,6.666666666666667,6.666666666666667,0.12712553509583133
7,7.777777777777779,7.777777777777779,7.777777777777779,0.3706712854118014
8,8.88888888888889,8.88888888888889,8.88888888888889,-0.24645693789629994
9,10.0,10.0,10.0,-1.0020614414946034
