step,x,y,z,energy
0,0.0,0.0,0.0,0.3290720807329535
1,1.1111111111111112,1.1111111111111112,1.1111111111111112,-0.6147964763441169
2,2.2222222222222223,2.2222222222222223,2.2222222222222223,-0.6783961311727054
3,3.3333333333333335,3.3333333333333335,3.3333333333333335,-0.4855679739047987
4,4.444444444444445,4.444444444444445,4.444444444444445,1.70261508525437
5,5.555555555555555,5.555555555555555,5.555555555555555,-0.8829229663727087
6,6.666666666666667,6.666666666666667,6.666666666666667,-1.0798078227118173
7,7.777777777777779,7.777777777777779,7.777777777777779,0.5034329164520687
8,8.88888888888889,8.88888888888889,8.88888888888889,-1.7006645742624191
9,10.0,10.0,10.0,0.6406824918620974
