step,x,y,z,energy
0,0.0,0.0,0.0,0.4654098632686767
1,1.1111111111111112,1.1111111111111112,1.1111111111111112,-0.35743087778642396
2,2.2222222222222223,2.2222222222222223,2.2222222222222223,-0.07853136050823974
3,3.3333333333333335,3.3333333333333335,3.3333333333333335,-1.2215518232204277
4,4.444444444444445,4.444444444444445,4.444444444444445,-0.5698090563943332
5,5.555555555555555,5.555555555555555,5.555555555555555,-0.049213209615131794
6,6.666666666666667,6.666666666666667,6.666666666666667,-0.10897953469539974
7,7.777777777777779,7.777777777777779,7.777777777777779,-0.4731811575418689
8,8.88888888888889,8.88888888888889,8.88888888888889,-0.1361999731546483
9,10.0,10.0,10.0,1.991839878366096
