step,x,y,z,energy
0,0.0,0.0,0.0,-1.092460651024249
1,1.1111111111111112,1.1111111111111112,1.1111111111111112,-0.03210046327884722
2,2.2222222222222223,2.2222222222222223,2.2222222222222223,-1.6449402680277283
3,3.3333333333333335,3.3333333333333335,3.3333333333333335,-0.028063384150619528
4,4.444444444444445,4.444444444444445,4.444444444444445,-0.5620916250552758
5,5.555555555555555,5.555555555555555,5.555555555555555,-0.5118904633502496
6,6.666666666666667,6.666666666666667,6.666666666666667,1.3994015004205846
7,7.777777777777779,7.777777777777779,7.777777777777779,-0.19226266152527302
8,8.88888888888889,8.88888888888889,8.88888888888889,0.10957133887932494
9,10.0,10.0,10.0,-0.8460903481450408
