step,x,y,z,energy
0,0.0,0.0,0.0,-0.41309390272314755
1,1.1111111111111112,1.1111111111111112,1.1111111111111112,0.3178713854706703
2,2.2222222222222223,2.2222222222222223,2.2222222222222223,0.46617428436096076
3,3.3333333333333335,3.3333333333333335,3.3333333333333335,0.7022691312329885
4,4.444444444444445,4.444444444444445,4.444444444444445,-0.6918946869691067
5,5.555555555555555,5.555555555555555,5.555555555555555,0.6393973162633748
6,6.666666666666667,6.666666666666667,6.666666666666667,0.6360426087623938
7,7.777777777777779,7.777777777777779,7.777777777777779,-2.7943460947425893
8,8.88888888888889,8.88888888888889,8.88888888888889,-1.8562433175256408
9,10.0,10.0,10.0,-1.3236793140275294
