step,x,y,z,energy
0,0.0,0.0,0.0,-0.48280765945626963
1,1.1111111111111112,1.1111111111111112,1.1111111111111112,-0.8532460045309805
2,2.2222222222222223,2.2222222222222223,2.2222222222222223,0.11813804985406108
3,3.3333333333333335,3.3333333333333335,3.3333333333333335,1.3405608573342924
4,4.444444444444445,4.444444444444445,4.444444444444445,1.5855826633491894
5,5.555555555555555,5.555555555555555,5.555555555555555,-0.9066363611518236
6,6.666666666666667,6.666666666666667,6.666666666666667,-0.24071546948006758
7,7.777777777777779,7.777777777777779,7.777777777777779,-0.5611423481188992
8,8.88888888888889,8.88888888888889,8.88888888888889,0.8446410207736113
9,10.0,10.0,10.0,0.31968705053203156
