step,x,y,z,energy
0,0.0,0.0,0.0,-0.21309159678374862
1,1.1111111111111112,1.1111111111111112,1.1111111111111112,-0.06176975118865738
2,2.2222222222222223,2.2222222222222223,2.2222222222222223,-0.12424578127528342
3,3.3333333333333335,3.3333333333333335,3.3333333333333335,1.2913851677355843
4,4.444444444444445,4.444444444444445,4.444444444444445,0.45687275180433085
5,5.555555555555555,5.555555555555555,5.555555555555555,-0.42913078330663634
6,6.666666666666667,6.666666666666667,6.666666666666667,-0.8025287661040142
7,7.777777777777779,7.777777777777779,7.777777777777779,-0.9219775171290086
8,8.88888888888889,8.88888888888889,8.88888888888889,-1.2573668801556501
9,10.0,10.0,10.0,0.5079236117688612
